,Andes,Javeriana,La Sabana,Externado,Sergio Arboleda,Nacional
Andes,0.0,2.992553317246542,28.976821873001697,0.7394428005581648,6.617838092458241,4.516360060844449
Javeriana,2.992553317246542,0.0,25.993134004590818,3.6978702912330883,3.63315449773269,2.403540628723281
La Sabana,28.976821873001697,25.993134004590818,0.0,29.690662123709597,22.360564685310223,25.33185748101018
Externado,0.7394428005581648,3.6978702912330883,29.690662123709597,0.0,7.330133623351231,5.034477737441421
Sergio Arboleda,6.617838092458241,3.63315449773269,22.360564685310223,7.330133623351231,0.0,3.701600186344533
Nacional,4.516360060844449,2.403540628723281,25.33185748101018,5.034477737441421,3.701600186344533,0.0
